item_id	text_eng	desc_eng	desc2_eng	text_jpn	desc_jpn	desc2_jpn	text_chs	desc_chs	desc2_chs	text_cht	desc_cht	desc2_cht	text_deu	desc_deu	desc2_deu	text_fra	desc_fra	desc2_fra	text_kor	desc_kor	desc2_kor	text_rus	desc_rus	desc2_rus	text_spa	desc_spa	desc2_spa	imageNo	min_rarity	max_level	wep	arm	acc	atk	heal	supEne	supPar	grade_min_value	grade_max_value	lv_min_rand_range_min	lv_min_rand_range_max	lv_max_rand_range_min	lv_max_rand_range_max	trait_base	hash	item_trait_table_tag	fire	ice	bolt	air	no_level	combo_1	combo_2	combo_3	combo_4	disp_flag
ITEM_TRAIT_TRAIT_056	Gorilla Slayer	Increases damage dealt to Gorilla-type monsters by [Rank x 5]%.	Reduces damage received from Gorilla-type monsters by [Rank x 3]%.	ゴリラ特攻	ゴリラ系のモンスターに対するダメージを RANK×5％上昇させる	ゴリラ系モンスターからの被ダメージをRANK×3％軽減	大猩猩特攻	对大猩猩类魔物的伤害提升 RANK×5%。	大猩猩类魔物造成的伤害减轻 RANK×3%。	大猩猩特攻	對大猩猩類魔物的傷害上升 RANK×5%。	大猩猩類魔物造成的傷害減輕 RANK×3%。	Gorilla-Jäger	Erhöht den Schaden bei Monstern des Gorilla-Typs um [Rang x 5] %.	Reduziert den von Monstern des Gorilla-Typs erlittenen Schaden um [Rang x 3] %.	Fléau des gorilles	Augmente de [Rang x 5] % les dégâts infligés aux gorilles.	Réduit de [Rang x 3] % les dégâts infligés par les gorilles.	고릴라 특공	고릴라계 몬스터에게 주는 대미지가RANK×5% 상승한다	고릴라계 몬스터에게서 받는 대미지를RANK×3% 경감시킨다	Истребитель горилл	Увеличивает урон, наносимый чудовищам типа «Горилла», на [ранг x 5]%.	Уменьшает урон, получаемый от чудовищ типа «Горилла», на [ранг x 3]%.	Matagorilas	Aumenta un [Rango x5] % el daño infligido a los monstruos de tipo Gorila.	Reduce un [Rango x3] % el daño recibido de los monstruos de tipo Gorila.	1402	0	6	True							4	9	[5, 0, 3, 0]	[5, 0, 3, 0]	[30, 0, 18, 0]	[30, 0, 18, 0]	['ITEM_SUB_EQI_RACE_DAMAGE_UP', '', 'ITEM_SUB_EQI_RACE_DAMAGE_DOWN', '']	['MONSTER_RACE_KONG', '', 'MONSTER_RACE_KONG', '']	9	True									1
ITEM_TRAIT_TRAIT_057	Hermit Crab Slayer	Increases damage dealt to Hermit Crab-type monsters by [Rank x 5]%.	Reduces damage received from Hermit Crab-type monsters by [Rank x 3]%.	ヤドカリ特攻	ヤドカリ系のモンスターに対するダメージを RANK×5％上昇させる	ヤドカリ系モンスターからの被ダメージを RANK×3％軽減	寄居蟹特攻	对寄居蟹类魔物的伤害提升 RANK×5%。	寄居蟹类魔物造成的伤害减轻 RANK×3%。	寄居蟹特攻	對寄居蟹類魔物的傷害上升 RANK×5%。	寄居蟹類魔物造成的傷害減輕 RANK×3%。	Einsiedlerkrebs-Jäger	Erhöht den Schaden bei Monstern des Einsiedlerkrebs-Typs um [Rang x 5] %.	Reduziert den von Monstern des Einsiedlerkrebs-Typs erlittenen Schaden um [Rang x 3] %.	Fléau des bernard-l'ermite	Augmente de [Rang x 5] % les dégâts infligés aux bernard-l'ermite.	Réduit de [Rang x 3] % les dégâts infligés par les bernard-l'ermite.	소라게 특공	소라게계 몬스터에게 주는 대미지가RANK×5% 상승한다	소라게계 몬스터에게서 받는 대미지를RANK×3% 경감시킨다	Истребитель раков-отшельников	Увеличивает урон, наносимый чудовищам типа «Рак-отшельник», на [ранг x 5]%.	Уменьшает урон, получаемый от чудовищ типа «Рак-отшельник», на [ранг x 3]%.	Matacangrejos ermitaños	Aumenta un [Rango x5] % el daño infligido a los monstruos de tipo Cangrejo ermitaño.	Reduce un [Rango x3] % el daño recibido de los monstruos de tipo Cangrejo ermitaño.	1402	0	6	True							4	9	[5, 0, 3, 0]	[5, 0, 3, 0]	[30, 0, 18, 0]	[30, 0, 18, 0]	['ITEM_SUB_EQI_RACE_DAMAGE_UP', '', 'ITEM_SUB_EQI_RACE_DAMAGE_DOWN', '']	['MONSTER_RACE_HERMITCRAB', '', 'MONSTER_RACE_HERMITCRAB', '']	9			True							1
ITEM_TRAIT_TRAIT_058	Spirit Horse Slayer	Increases damage dealt to Spirit Horse-type monsters by [Rank x 5]%.	Reduces damage received from Spirit Horse-type monsters by [Rank x 3]%.	霊馬特攻	霊馬系のモンスターに対するダメージを RANK×5％上昇させる	霊馬系モンスターからの被ダメージをRANK×3％軽減	灵马特攻	对灵马类魔物的伤害提升 RANK×5%。	灵马类魔物造成的伤害减轻 RANK×3%。	靈馬特攻	對靈馬類魔物的傷害上升 RANK×5%。	靈馬類魔物造成的傷害減輕 RANK×3%。	Geisterpferd-Jäger	Erhöht den Schaden bei Monstern des Geisterpferde-Typs um [Rang x 5] %.	Reduziert den von Monstern des Geisterpferde-Typs erlittenen Schaden um [Rang x 3] %.	Fléau des chevaux-esprits	Augmente de [Rang x 5] % les dégâts infligés aux chevaux-esprits.	Réduit de [Rang x 3] % les dégâts infligés par les chevaux-esprits.	영마 특공	영마계 몬스터에게 주는 대미지가RANK×5% 상승한다	영마계 몬스터에게서 받는 대미지를RANK×3% 경감시킨다	Истребитель коней-духов	Увеличивает урон, наносимый чудовищам типа «Конь-дух», на [ранг x 5]%.	Уменьшает урон, получаемый от чудовищ типа «Конь-дух», на [ранг x 3]%.	Matacaballos espirituales	Aumenta un [Rango x5] % el daño infligido a los monstruos de tipo Caballo espiritual.	Reduce un [Rango x3] % el daño recibido de los monstruos de tipo Caballo espiritual.	1402	0	6	True							4	9	[5, 0, 3, 0]	[5, 0, 3, 0]	[30, 0, 18, 0]	[30, 0, 18, 0]	['ITEM_SUB_EQI_RACE_DAMAGE_UP', '', 'ITEM_SUB_EQI_RACE_DAMAGE_DOWN', '']	['MONSTER_RACE_HORSE', '', 'MONSTER_RACE_HORSE', '']	9				True						1
ITEM_TRAIT_TRAIT_059	Rock Raptor Slayer	Increases damage dealt to Rock Raptor-type monsters by [Rank x 5]%.	Reduces damage received from Rock Raptor-type monsters by [Rank x 3]%.	岩獣特攻	岩獣系のモンスターに対するダメージを RANK×5％上昇させる	岩獣系モンスターからの被ダメージをRANK×3％軽減	岩兽特攻	对岩兽类魔物的伤害提升 RANK×5%。	岩兽类魔物造成的伤害减轻 RANK×3%。	岩獸特攻	對岩獸類魔物的傷害上升 RANK×5%。	岩獸類魔物造成的傷害減輕 RANK×3%。	Steinraptor-Jäger	Erhöht den Schaden bei Monstern des Steinsaurier-Typs um [Rang x 5] %.	Reduziert den von Monstern des Steinsaurier-Typs erlittenen Schaden um [Rang x 3] %.	Fléau des rapaces des rochers	Augmente de [Rang x 5] % les dégâts infligés aux rapaces des rochers.	Réduit de [Rang x 3] % les dégâts infligés par les rapaces des rochers.	암수 특공	암수계 몬스터에게 주는 대미지가RANK×5% 상승한다	암수계 몬스터에게서 받는 대미지를RANK×3% 경감시킨다	Истребитель скальных рапторов	Увеличивает урон, наносимый чудовищам типа «Скальный раптор», на [ранг x 5]%.	Уменьшает урон, получаемый от чудовищ типа «Скальный раптор», на [ранг x 3]%.	Matacarroñeros rocosos	Aumenta un [Rango x5] % el daño infligido a los monstruos de tipo Carroñero rocoso.	Reduce un [Rango x3] % el daño recibido de los monstruos de tipo Carroñero rocoso.	1402	0	6	True							4	9	[5, 0, 3, 0]	[5, 0, 3, 0]	[30, 0, 18, 0]	[30, 0, 18, 0]	['ITEM_SUB_EQI_RACE_DAMAGE_UP', '', 'ITEM_SUB_EQI_RACE_DAMAGE_DOWN', '']	['MONSTER_RACE_ROCKBEAST', '', 'MONSTER_RACE_ROCKBEAST', '']	10			True							1
ITEM_TRAIT_TRAIT_060	Jellyfish Slayer	Increases damage dealt to Jellyfish-type monsters by [Rank x 5]%.	Reduces damage received from Jellyfish-type monsters by [Rank x 3]%.	クラゲ特攻	クラゲ系のモンスターに対するダメージを RANK×5％上昇させる	クラゲ系モンスターからの被ダメージをRANK×3％軽減	水母特攻	对水母类魔物的伤害提升 RANK×5%。	水母类魔物造成的伤害减轻 RANK×3%。	水母特攻	對水母類魔物的傷害上升 RANK×5%。	水母類魔物造成的傷害減輕 RANK×3%。	Quallen-Jäger	Erhöht den Schaden bei Monstern des Quallen-Typs um [Rang x 5] %.	Reduziert den von Monstern des Quallen-Typs erlittenen Schaden um [Rang x 3] %.	Fléau des méduses	Augmente de [Rang x 5] % les dégâts infligés aux méduses.	Réduit de [Rang x 3] % les dégâts infligés par les méduses.	해파리 특공	해파리계 몬스터에게 주는 대미지가RANK×5% 상승한다	해파리계 몬스터에게서 받는 대미지를RANK×3% 경감시킨다	Истребитель медуз	Увеличивает урон, наносимый чудовищам типа «Медуза», на [ранг x 5]%.	Уменьшает урон, получаемый от чудовищ типа «Медуза», на [ранг x 3]%.	Matamedusas	Aumenta un [Rango x5] % el daño infligido a los monstruos de tipo Medusa.	Reduce un [Rango x3] % el daño recibido de los monstruos de tipo Medusa.	1402	0	6	True							4	9	[5, 0, 3, 0]	[5, 0, 3, 0]	[30, 0, 18, 0]	[30, 0, 18, 0]	['ITEM_SUB_EQI_RACE_DAMAGE_UP', '', 'ITEM_SUB_EQI_RACE_DAMAGE_DOWN', '']	['MONSTER_RACE_JELLYFISH', '', 'MONSTER_RACE_JELLYFISH', '']	10		True								1
ITEM_TRAIT_TRAIT_061	Golem Slayer	Increases damage dealt to Golem-type monsters by [Rank x 5]%.	Reduces damage received from Golem-type monsters by [Rank x 3]%.	ゴーレム特攻	ゴーレム系のモンスターに対するダメージを RANK×5％上昇させる	ゴーレム系モンスターからの被ダメージを RANK×3％軽減	魔巨人特攻	对魔巨人类魔物的伤害提升 RANK×5%。	魔巨人类魔物造成的伤害减轻 RANK×3%。	魔巨人特攻	對魔巨人類魔物的傷害上升 RANK×5%。	魔巨人類魔物造成的傷害減輕 RANK×3%。	Golem-Jäger	Erhöht den Schaden bei Monstern des Golem-Typs um [Rang x 5] %.	Reduziert den von Monstern des Golem-Typs erlittenen Schaden um [Rang x 3] %.	Fléau des golems	Augmente de [Rang x 5] % les dégâts infligés aux golems.	Réduit de [Rang x 3] % les dégâts infligés par les golems.	골렘 특공	골렘계 몬스터에게 주는 대미지가RANK×5% 상승한다	골렘계 몬스터에게서 받는 대미지를RANK×3% 경감시킨다	Истребитель големов	Увеличивает урон, наносимый чудовищам типа «Голем», на [ранг x 5]%.	Уменьшает урон, получаемый от чудовищ типа «Голем», на [ранг x 3]%.	Matagólems	Aumenta un [Rango x5] % el daño infligido a los monstruos de tipo Gólem.	Reduce un [Rango x3] % el daño recibido de los monstruos de tipo Gólem.	1402	0	6	True							4	9	[5, 0, 3, 0]	[5, 0, 3, 0]	[30, 0, 18, 0]	[30, 0, 18, 0]	['ITEM_SUB_EQI_RACE_DAMAGE_UP', '', 'ITEM_SUB_EQI_RACE_DAMAGE_DOWN', '']	['MONSTER_RACE_GIANT', '', 'MONSTER_RACE_GIANT', '']	10	True									1
ITEM_TRAIT_TRAIT_062	Elemental Slayer	Increases damage dealt to Elemental-type monsters by [Rank x 5]%.	Reduces damage received from Elemental-type monsters by [Rank x 3]%.	エレメンタル特攻	エレメンタル系のモンスターに対するダメージを RANK×5％上昇させる	エレメンタル系モンスターからの被ダメージを RANK×3％軽減	元素特攻	对元素类魔物的伤害提升 RANK×5%。	元素类魔物造成的伤害减轻 RANK×3%。	元素特攻	對元素類魔物的傷害上升 RANK×5%。	元素類魔物造成的傷害減輕 RANK×3%。	Elementar-Jäger	Erhöht den Schaden bei Monstern des Element-Typs um [Rang x 5] %.	Reduziert den von Monstern des Element-Typs erlittenen Schaden um [Rang x 3] %.	Fléau des élémentaires	Augmente de [Rang x 5] % les dégâts infligés aux élémentaires.	Réduit de [Rang x 3] % les dégâts infligés par les élémentaires.	엘리멘탈 특공	엘리멘탈계 몬스터에게 주는 대미지가RANK×5% 상승한다	엘리멘탈계 몬스터에게서 받는 대미지를RANK×3% 경감시킨다	Истребитель элементалей	Увеличивает урон, наносимый чудовищам типа «Элементаль», на [ранг x 5]%.	Уменьшает урон, получаемый от чудовищ типа «Элементаль», на [ранг x 3]%.	Mataelementales	Aumenta un [Rango x5] % el daño infligido a los monstruos de tipo Elemental.	Reduce un [Rango x3] % el daño recibido de los monstruos de tipo Elemental.	1402	0	6	True							4	9	[5, 0, 3, 0]	[5, 0, 3, 0]	[30, 0, 18, 0]	[30, 0, 18, 0]	['ITEM_SUB_EQI_RACE_DAMAGE_UP', '', 'ITEM_SUB_EQI_RACE_DAMAGE_DOWN', '']	['MONSTER_RACE_ELEMENT', '', 'MONSTER_RACE_ELEMENT', '']	11	True									1
ITEM_TRAIT_TRAIT_063	Roadrunner Slayer	Increases damage dealt to Roadrunner-type monsters by [Rank x 5]%.	Reduces damage received from Roadrunner-type monsters by [Rank x 3]%.	走鳥特攻	走鳥系のモンスターに対するダメージを RANK×5％上昇させる	走鳥系モンスターからの被ダメージをRANK×3％軽減	走禽特攻	对走禽类魔物的伤害提升 RANK×5%。	走禽类魔物造成的伤害减轻 RANK×3%。	走禽特攻	對走禽類魔物的傷害上升 RANK×5%。	走禽類魔物造成的傷害減輕 RANK×3%。	Rennkuckuck-Jäger	Erhöht den Schaden bei Monstern des Rennkuckuck-Typs um [Rang x 5] %.	Reduziert den von Monstern des Rennkuckuck-Typs erlittenen Schaden um [Rang x 3] %.	Fléau des géocoucous	Augmente de [Rang x 5] % les dégâts infligés aux géocoucous.	Réduit de [Rang x 3] % les dégâts infligés par les géocoucous.	주조 특공	주조계 몬스터에게 주는 대미지가RANK×5% 상승한다	주조계 몬스터에게서 받는 대미지를RANK×3% 경감시킨다	Истребитель дроф	Увеличивает урон, наносимый чудовищам типа «Дрофа», на [ранг x 5]%.	Уменьшает урон, получаемый от чудовищ типа «Дрофа», на [ранг x 3]%.	Matacorrecaminos	Aumenta un [Rango x5] % el daño infligido a los monstruos de tipo Correcaminos.	Reduce un [Rango x3] % el daño recibido de los monstruos de tipo Correcaminos.	1402	0	6	True							4	9	[5, 0, 3, 0]	[5, 0, 3, 0]	[30, 0, 18, 0]	[30, 0, 18, 0]	['ITEM_SUB_EQI_RACE_DAMAGE_UP', '', 'ITEM_SUB_EQI_RACE_DAMAGE_DOWN', '']	['MONSTER_RACE_BIRD', '', 'MONSTER_RACE_BIRD', '']	10				True						1
ITEM_TRAIT_TRAIT_064	Panther Slayer	Increases damage dealt to Panther-type monsters by [Rank x 5]%.	Reduces damage received from Panther-type monsters by [Rank x 3]%.	パンサー特攻	パンサー系のモンスターに対するダメージを RANK×5％上昇させる	パンサー系モンスターからの被ダメージを RANK×3％軽減	豹类特攻	对豹类魔物的伤害提升 RANK×5%。	豹类魔物造成的伤害减轻 RANK×3%。	豹特攻	對豹類魔物的傷害上升 RANK×5%。	豹類魔物造成的傷害減輕 RANK×3%。	Panther-Jäger	Erhöht den Schaden bei Monstern des Panther-Typs um [Rang x 5] %.	Reduziert den von Monstern des Panther-Typs erlittenen Schaden um [Rang x 3] %.	Fléau des panthères	Augmente de [Rang x 5] % les dégâts infligés aux panthères.	Réduit de [Rang x 3] % les dégâts infligés par les panthères.	팬서 특공	팬서계 몬스터에게 주는 대미지가RANK×5% 상승한다	팬서계 몬스터에게서 받는 대미지를RANK×3% 경감시킨다	Истребитель пантер	Увеличивает урон, наносимый чудовищам типа «Пантера», на [ранг x 5]%.	Уменьшает урон, получаемый от чудовищ типа «Пантера», на [ранг x 3]%.	Matapanteras	Aumenta un [Rango x5] % el daño infligido a los monstruos de tipo Pantera.	Reduce un [Rango x3] % el daño recibido de los monstruos de tipo Pantera.	1402	0	6	True							4	9	[5, 0, 3, 0]	[5, 0, 3, 0]	[30, 0, 18, 0]	[30, 0, 18, 0]	['ITEM_SUB_EQI_RACE_DAMAGE_UP', '', 'ITEM_SUB_EQI_RACE_DAMAGE_DOWN', '']	['MONSTER_RACE_PANTHER', '', 'MONSTER_RACE_PANTHER', '']	11			True							1
ITEM_TRAIT_TRAIT_065	Crocodile Slayer	Increases damage dealt to Crocodile-type monsters by [Rank x 5]%.	Reduces damage received from Crocodile-type monsters by [Rank x 3]%.	ワニ特攻	ワニ系のモンスターに対するダメージを RANK×5％上昇させる	ワニ系モンスターからの被ダメージをRANK×3％軽減	鳄鱼特攻	对鳄鱼类魔物的伤害提升 RANK×5%。	鳄鱼类魔物造成的伤害减轻 RANK×3%。	鱷魚特攻	對鱷魚類魔物的傷害上升 RANK×5%。	鱷魚類魔物造成的傷害減輕 RANK×3%。	Krokodil-Jäger	Erhöht den Schaden bei Monstern des Krokodil-Typs um [Rang x 5] %.	Reduziert den von Monstern des Krokodil-Typs erlittenen Schaden um [Rang x 3] %.	Fléau des crocodiles	Augmente de [Rang x 5] % les dégâts infligés aux crocodiles.	Réduit de [Rang x 3] % les dégâts infligés par les crocodiles.	악어 특공	악어계 몬스터에게 주는 대미지가RANK×5% 상승한다	악어계 몬스터에게서 받는 대미지를RANK×3% 경감시킨다	Истребитель крокодилов	Увеличивает урон, наносимый чудовищам типа «Крокодил», на [ранг x 5]%.	Уменьшает урон, получаемый от чудовищ типа «Крокодил», на [ранг x 3]%.	Matacocodrilos	Aumenta un [Rango x5] % el daño infligido a los monstruos de tipo Cocodrilo.	Reduce un [Rango x3] % el daño recibido de los monstruos de tipo Cocodrilo.	1402	0	6	True							4	9	[5, 0, 3, 0]	[5, 0, 3, 0]	[30, 0, 18, 0]	[30, 0, 18, 0]	['ITEM_SUB_EQI_RACE_DAMAGE_UP', '', 'ITEM_SUB_EQI_RACE_DAMAGE_DOWN', '']	['MONSTER_RACE_CLOCODILE', '', 'MONSTER_RACE_CLOCODILE', '']	11		True								1
ITEM_TRAIT_TRAIT_066	Sporeling Slayer	Increases damage dealt to Sporeling-type monsters by [Rank x 5]%.	Reduces damage received from Sporeling-type monsters by [Rank x 3]%.	ナエギ特攻	ナエギ系のモンスターに対するダメージを RANK×5％上昇させる	ナエギ系モンスターからの被ダメージをRANK×3％軽減	孢子怪特攻	对孢子怪类魔物的伤害提升 RANK×5%。	孢子怪类魔物造成的伤害减轻 RANK×3%。	苗蕈怪特攻	對苗蕈怪類魔物的傷害上升 RANK×5%。	苗蕈怪類魔物造成的傷害減輕 RANK×3%。	Sporenstreuer-Jäger	Erhöht den Schaden bei Monstern des Sporenstreuer-Typs um [Rang x 5] %.	Reduziert den von Monstern des Sporenstreuer-Typs erlittenen Schaden um [Rang x 3] %.	Fléau des sporelins	Augmente de [Rang x 5] % les dégâts infligés aux sporelins.	Réduit de [Rang x 3] % les dégâts infligés par les sporelins.	묘목 특공	묘목계 몬스터에게 주는 대미지가RANK×5% 상승한다	묘목계 몬스터에게서 받는 대미지를RANK×3% 경감시킨다	Истребитель споровиков	Увеличивает урон, наносимый чудовищам типа «Споровик», на [ранг x 5]%.	Уменьшает урон, получаемый от чудовищ типа «Споровик», на [ранг x 3]%.	Matahífas	Aumenta un [Rango x5] % el daño infligido a los monstruos de tipo Hifa.	Reduce un [Rango x3] % el daño recibido de los monstruos de tipo Hifa.	1402	0	6	True							4	9	[5, 0, 3, 0]	[5, 0, 3, 0]	[30, 0, 18, 0]	[30, 0, 18, 0]	['ITEM_SUB_EQI_RACE_DAMAGE_UP', '', 'ITEM_SUB_EQI_RACE_DAMAGE_DOWN', '']	['MONSTER_RACE_SAPLING', '', 'MONSTER_RACE_SAPLING', '']	11				True						1
ITEM_TRAIT_TRAIT_067	Block Poison	Blocks the Poison status effect.		毒無効	毒 の状態異常が無効になる		中毒无效	异常状态 中毒 无效。		中毒無效	異常狀態 中毒 無效。		Gift-Blockade	Verhindert Gift-Statuseffekt.		Immunité au poison	Bloque l'état anormal Poison.		독 무효	독 상태이상이 무효화된다		Блокирует отравление	Блокирует эффект состояния «Отравление».		Bloquear Veneno	Bloquea el efecto del estado Veneno.		1402	3	1			True					100	100	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	['ITEM_SUB_EQI_PROTECT_BAD_STATUS', '', '', '']	['STATUS_BAD_POISON', '', '', '']	4				True	True					1
ITEM_TRAIT_TRAIT_068	Block Sleep	Blocks the Sleep status effect.		睡眠無効	睡眠 の状態異常が無効になる		睡眠无效	异常状态 睡眠 无效。		睡眠無效	異常狀態 睡眠 無效。		Schlafen-Blockade	Verhindert Schlafen-Statuseffekt.		Immunité au sommeil	Bloque l'état anormal Sommeil.		수면 무효	수면 상태이상이 무효화된다		Блокирует сон	Блокирует эффект состояния «Сон».		Bloquear Sueño	Bloquea el efecto del estado Sueño.		1402	3	1			True					100	100	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	['ITEM_SUB_EQI_PROTECT_BAD_STATUS', '', '', '']	['STATUS_BAD_SLEEP', '', '', '']	4		True			True					1
ITEM_TRAIT_TRAIT_069	Block Burns	Blocks the Burns status effect.		火傷無効	火傷 の状態異常が無効になる		火伤无效	异常状态 火伤 无效。		燒傷無效	異常狀態 燒傷 無效。		Verbrennungs-Blockade	Verhindert Verbrennungen-Statuseffekt.		Immunité aux brûlures	Bloque l'état anormal Brûlures.		화상 무효	화상 상태이상이 무효화된다		Блокирует ожог	Блокирует эффект состояния «Ожог».		Bloquear Quemaduras	Bloquea el efecto del estado Quemaduras.		1402	3	1			True					100	100	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	['ITEM_SUB_EQI_PROTECT_BAD_STATUS', '', '', '']	['STATUS_BAD_HEAT', '', '', '']	4	True				True					1
ITEM_TRAIT_TRAIT_070	Block Paralysis	Blocks the Paralysis status effect.		麻痺無効	麻痺 の状態異常が無効になる		麻痹无效	异常状态 麻痹 无效。		麻痺無效	異常狀態 麻痺 無效。		Lähmungs-Blockade	Verhindert Lähmung-Statuseffekt.		Immunité à la paralysie	Bloque l'état anormal Paralysie.		마비 무효	마비 상태이상이 무효화된다		Блокирует паралич	Блокирует эффект состояния «Паралич».		Bloquear Parálisis	Bloquea el efecto del estado Parálisis.		1402	3	1			True					100	100	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	['ITEM_SUB_EQI_PROTECT_BAD_STATUS', '', '', '']	['STATUS_BAD_PARALYSIS', '', '', '']	4			True		True					1
ITEM_TRAIT_TRAIT_071	Block Restraints	Blocks the Restraints status effect.		束縛無効	束縛 の状態異常が無効になる		束缚无效	异常状态 束缚 无效。		束縛無效	異常狀態 束縛 無效。		Fesselungs-Blockade	Verhindert Fesselung-Statuseffekt.		Immunité aux entraves	Bloque l'état anormal Entraves.		속박 무효	속박 상태이상이 무효화된다		Блокирует путы	Блокирует эффект состояния «Путы».		Bloquear Ataduras	Bloquea el efecto del estado Ataduras.		1402	3	1			True					100	100	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	['ITEM_SUB_EQI_PROTECT_BAD_STATUS', '', '', '']	['STATUS_BAD_SNARE', '', '', '']	5			True		True					1
ITEM_TRAIT_TRAIT_072	Block Frostbite	Blocks the Frostbite status effect.		凍傷無効	凍傷 の状態異常が無効になる		冻伤无效	异常状态 冻伤 无效。		凍傷無效	異常狀態 凍傷 無效。		Frostbeulen-Blockade	Verhindert Frostbeulen-Statuseffekt.		Immunité aux gelures	Bloque l'état anormal Gelures.		동상 무효	동상 상태이상이 무효화된다		Блокирует обморожение	Блокирует эффект состояния «Обморожение».		Bloquear Congelación	Bloquea el efecto del estado Congelación.		1402	3	1			True					100	100	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	['ITEM_SUB_EQI_PROTECT_BAD_STATUS', '', '', '']	['STATUS_BAD_FROSTBITE', '', '', '']	5		True			True					1
ITEM_TRAIT_TRAIT_073	Block Curse	Blocks the Curse status effect.		呪い無効	呪い の状態異常が無効になる		诅咒无效	异常状态 诅咒 无效。		詛咒無效	異常狀態 詛咒 無效。		Fluch-Blockade	Verhindert Fluch-Statuseffekt.		Immunité à la malédiction	Bloque l'état anormal Malédiction.		저주 무효	저주 상태이상이 무효화된다		Блокирует проклятие	Блокирует эффект состояния «Проклятие».		Bloquear Maldición	Bloquea el efecto del estado Maldición.		1402	3	1			True					100	100	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	['ITEM_SUB_EQI_PROTECT_BAD_STATUS', '', '', '']	['STATUS_BAD_CURSE', '', '', '']	5	True				True					1
ITEM_TRAIT_TRAIT_074	Destructive+	Boosts the item's power by [Rank x 10]%.		破壊力上昇＋	アイテムの威力が RANK×10％ 上昇		破坏力提升+	道具的威力提升 RANK×10%。		破壞力上升+	道具的威力上升 RANK×10%。		Zerstörerisch +	Erhöht die Stärke des Gegenstands um [Rang x 10] %.		Destructeur+	Améliore la puissance de l'objet de [Rang x 10] %.		파괴력 상승＋	아이템의 위력이 RANK×10% 상승한다		Разрушительное+	Увеличивает мощь предмета на [ранг x 10]%.		Destructivo+	Aumenta un [Rango x 10] % la potencia de los objetos.		1402	0	6				True		True		5	10	[10, 0, 0, 0]	[10, 0, 0, 0]	[60, 0, 0, 0]	[60, 0, 0, 0]	['ITEM_SUB_ITM_CHANGE_POWER', '', '', '']	['', '', '', '']	13	True									1
ITEM_TRAIT_TRAIT_075	Healing+	Boosts the amount of HP restored by the item by [Rank x 10]%.		回復力上昇＋	アイテムの回復量が RANK×10％ 上昇		恢复力提升+	道具的恢复量提升 RANK×10%。		回復力上升+	道具的回復量上升 RANK×10%。		Heilend +	Erhöht die Menge der durch den Gegenstand wiederhergestellten LP um [Rang x 10] %.		Guérison+	Augmente le nombre de PV restaurés par l'objet de [Rang x 10] %.		회복력 상승＋	아이템의 회복량이 RANK×10% 상승한다		Исцеляющее+	Увеличивает количество ОЗ, восстанавливаемое предметом, на [ранг x 10]%.		Curación+	Aumenta un [Rango x10] % los PS que recupera el objeto.		1402	0	6					True		True	5	10	[10, 0, 0, 0]	[10, 0, 0, 0]	[60, 0, 0, 0]	[60, 0, 0, 0]	['ITEM_SUB_ITM_CHANGE_POWER', '', '', '']	['', '', '', '']	13		True								1
ITEM_TRAIT_TRAIT_076	Critical+	Boosts the item's critical rate by [Rank x 10]%.		クリティカル＋	アイテムのクリティカル発生率が RANK×10％ 上昇		暴击+	道具的暴击发生率提升 RANK×10%。		重擊+	道具的重擊發生率上升 RANK×10%。		Kritisch +	Erhöht die kritische Trefferquote des Gegenstands um [Rang x 10] %.		Critique+	Améliore le taux critique de l'objet de [Rang x 10] %.		크리티컬＋	아이템의 크리티컬 확률이RANK×10% 상승한다		Критическое+	Увеличивает шанс критического удара предмета на [ранг x 10]%.		Crítico+	Aumenta un [Rango x 10] % el índice de crítico de los objetos.		1402	0	6				True	True	True	True	5	10	[10, 0, 0, 0]	[10, 0, 0, 0]	[60, 0, 0, 0]	[60, 0, 0, 0]	['ITEM_SUB_ITM_ADD_CRITICAL', '', '', '']	['', '', '', '']	13			True							1
