text_ENG	Race	Number	Number2	ElemRes1	ElemRes2	ElemRes3	ElemRes4	ElemRes5	ElemRes6	AilRes1	AilRes2	AilRes3	AilRes4	AilRes5	AilRes6	AilRes7	AilRes8	DropReward0	DropReward1	DropReward2	DropReward3	DropReward4	DropGift0	DropGift1	DropGift2	DropGift3	DropGift4	text_JPN	text_CHS	text_CHT	text_KOR	FlavorText	EnemyLibraryInfoId
		[3, 3, 5, 3]	47																														1617674946
		[6, 5, 7, 6]	48																														1936875319
Platinum Flower	Spirit	[5, 3, 7, 6]	49	50	0	0	0	-25	-50	50	-50	-25	0	0	0	-50	0	{'LevelMin': 23, 'LevelMax': 39, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 927778175, 'ItemName': 'Torch Grass', 'GradeMin': 1, 'GradeMax': 25}	{'LevelMin': 23, 'LevelMax': 39, 'TraitId1': 259732645, 'TraitId2': 0, 'ItemId': 1184139538, 'ItemName': 'Diaphane', 'TraitName1': 'Awakening Heal'}	{'LevelMin': 23, 'LevelMax': 39, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1856092025, 'ItemName': 'Lapis Papillion', 'GradeMin': 1, 'GradeMax': 25}	{'LevelMin': 23, 'LevelMax': 39, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1856092025, 'ItemName': 'Lapis Papillion', 'GradeMin': 1, 'GradeMax': 25}		{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 862042001, 'ItemName': 'Altus - Fiery Crimson'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1604245495, 'ItemName': 'Altus - Crimson Azure'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 81819358, 'ItemName': 'Altus - Crimson Jade'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 960734910, 'ItemName': 'Altus - Crimson Glow'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 63060165, 'ItemName': 'Altus - Crimson Amethyst'}	プラチナフラワー	白金花	白金花朵	플래티넘 플라워	"{'flavor1': {'text_ENG': 'These guys sure are strong for their size.', 'text_JPN': '「この子たち小さいのにとっても強いよね」', 'text_CHT': '「這群小傢伙還真是不好對付。」', 'text_CHS': '“这群小家伙还真是不好对付。”', 'text_KOR': '「이 아이들은 작은데도 엄청나게 강하지」'}, 'char1': 'Rias', 'flavor2': {'text_ENG': ""They hold a lot of power in those tiny bodies. Don't take them lightly."", 'text_JPN': '「小さい体にすごい力を秘めてるんだ。\n\u3000油断しないようにな」', 'text_CHT': '「牠們個頭雖小卻力大無比，\n\u3000可別輕敵了。」', 'text_CHS': '“它们个头虽小却力大无比，\n\u3000可别轻敌了。”', 'text_KOR': '「작지만 엄청난 힘을 지니고 있으니까\n 방심하지 말도록 해」'}, 'char2': 'Slade', 'flavor3': {'text_ENG': ""I won't! I never give anything less than my best!"", 'text_JPN': '「もちろん！\u3000あたしはいつでも全力だよ！」', 'text_CHT': '「那當然！我哪次不是全力以赴！」', 'text_CHS': '“那当然！我哪次不是全力以赴？”', 'text_KOR': '「당연하지! 나는 항상 전력으로 임해!」'}, 'char3': 'Rias'}"	2076424254
		[5, 5, 7, 6]	50																														204319523
		[6, 6, 8, 7]	51																														1021583942
Eternal Guardian	Spirit	[7, 7, 8, 8]	52	0	0	50	50	-25	-50	0	-50	-25	50	0	0	-50	50	{'LevelMin': 10, 'LevelMax': 24, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1864267219, 'ItemName': 'Forest Sage', 'GradeMin': 1, 'GradeMax': 12}	{'LevelMin': 10, 'LevelMax': 24, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 385805320, 'ItemName': 'Indignant Scream', 'GradeMin': 1, 'GradeMax': 12}		{'LevelMin': 10, 'LevelMax': 24, 'TraitId1': 998011272, 'TraitId2': 0, 'ItemId': 2056789704, 'ItemName': 'Manaphoria', 'TraitName1': 'Harvest Blessing'}		{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 113500809, 'ItemName': 'Altus - Deep Azure'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 580264211, 'ItemName': 'Altus - Azure Crimson'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1291552816, 'ItemName': 'Altus - Azure Jade'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 565416004, 'ItemName': 'Altus - Azure Glow'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 456265277, 'ItemName': 'Altus - Azure Amethyst'}	悠久の守り手	悠久守护者	悠久守護者	유구의 수호자	"{'flavor1': {'text_ENG': 'Apparently, this one can live forever.', 'text_JPN': '「この子は悠久の時を生きるんだって」', 'text_CHT': '「據說牠的生命非常綿長悠久。」', 'text_CHS': '“据说它活了非常悠久的时光。”', 'text_KOR': '「이 아이는 유구한 시간을 산다고 해」'}, 'char1': 'Rias', 'flavor2': {'text_ENG': 'Forever, hm? They must get to experience a lot of history.', 'text_JPN': '「悠久か、いろんな歴史をみてきたんだろうな」', 'text_CHT': '「悠久啊，那想必見證過很多歷史。」', 'text_CHS': '“悠久啊，那想必见证过很多历史。”', 'text_KOR': '「유구한 시간이라… 여러 역사를 봐 왔겠지」'}, 'char2': 'El', 'flavor3': {'text_ENG': 'You jealous?', 'text_JPN': '「羨ましいのか？」', 'text_CHT': '「羨慕嗎？」', 'text_CHS': '“羡慕吗？”', 'text_KOR': '「부러워?」'}, 'char3': 'Slade', 'flavor4': {'text_ENG': ""Not at all. Uncovering lost history is an archeologist's primary joy!"", 'text_JPN': '「いや、歴史は己で解き明かすのが醍醐味さ！」', 'text_CHT': '「不，歷史就是要自己探究才有意思！」', 'text_CHS': '“不，历史就得要自己去探究才有意思！”', 'text_KOR': '「아니, 역사는 스스로 밝혀내야 재미있지!」'}, 'char4': 'El'}"	1706201864
		[7, 7, 8, 8]	53																														1435203856
Living Armor	Knight	[2, 3, 6, 2]	54	0	-50	100	0	0	-25	0	-25	0	100	0	-50	-25	0	{'LevelMin': 10, 'LevelMax': 24, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1606996164, 'ItemName': 'Rusted Sword', 'GradeMin': 1, 'GradeMax': 12}	{'LevelMin': 10, 'LevelMax': 24, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1067270463, 'ItemName': 'Star Ladybug', 'GradeMin': 1, 'GradeMax': 12}	{'LevelMin': 10, 'LevelMax': 24, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1753176835, 'ItemName': 'Fairystone Fragment', 'GradeMin': 1, 'GradeMax': 12}	{'LevelMin': 10, 'LevelMax': 24, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1938765783, 'ItemName': 'Ancient Sword', 'GradeMin': 1, 'GradeMax': 12}		{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1981762750, 'ItemName': 'Altus - Verdant Jade'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1774877220, 'ItemName': 'Altus - Jade Crimson'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1465302760, 'ItemName': 'Altus - Jade Azure'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1065912040, 'ItemName': 'Altus - Jade Glow'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 84482193, 'ItemName': 'Altus - Jade Amethyst'}	動く甲冑	移动盔甲	移動盔甲	움직이는 갑주	"{'flavor1': {'text_ENG': ""I wonder what's on the inside?"", 'text_JPN': '「これって中身どうなってるんだろう？」', 'text_CHT': '「那盔甲裡不曉得有什麼？」', 'text_CHS': '“那盔甲下面不知道是什么？”', 'text_KOR': '「이거, 안쪽은 어떻게 되어 있을까?」'}, 'char1': 'Rias', 'flavor2': {'text_ENG': ""My best guess is, either they really are living suits of armor, or there's some kind of mollusk inside ..."", 'text_JPN': '「甲冑自体が生きているのか、\n\u3000もしくは何らかの軟体生物が中に……」', 'text_CHT': '「說不定盔甲本身就有生命，\n\u3000也有可能裡面藏了什麼軟體生物……」', 'text_CHS': '“说不定盔甲本身就有生命，\n\u3000也有可能里面藏了什么软体生物……”', 'text_KOR': '「갑주 자체가 살아있는 건지,\n 아니면 어떠한 연체 생물이 안에…」'}, 'char2': 'Plachta', 'flavor3': {'text_ENG': ""Ugh ... I'd rather not imagine the second one."", 'text_JPN': '「うぅ、想像したくないかも……」', 'text_CHT': '「嗚，不敢想像……」', 'text_CHS': '“呜，不敢想象……”', 'text_KOR': '「으으, 상상하고 싶지 않을지도…」'}, 'char3': 'Rias'}"	809756332
		[2, 3, 7, 3]	55																														406443026
Heavy Warrior Armor	Knight	[8, 9, 9, 8]	530	0	-50	100	0	0	-25	0	-25	0	100	0	-50	-25	0	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 127808194, 'ItemName': 'Guardian Armor', 'GradeMin': 1, 'GradeMax': 20}	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1439921084, 'ItemName': 'Expiation Worm', 'GradeMin': 1, 'GradeMax': 20}	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1606996164, 'ItemName': 'Rusted Sword', 'GradeMin': 1, 'GradeMax': 20}	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 612791486, 'ItemName': 'Mysterious Metal Shard', 'GradeMin': 1, 'GradeMax': 20}		{'LevelMin': 5, 'LevelMax': 20, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1356895242, 'ItemName': 'Dark Abyss Pearl', 'Numbers1': [5, 3, 2], 'Numbers2': [8, 2, 0, 0, 0], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 0, 'GiftTraitTableId4': 0, 'GiftTraitTableId5': 0}	{'LevelMin': 5, 'LevelMax': 20, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 669492384, 'ItemName': 'Crimson Abyss Pearl', 'Numbers1': [5, 3, 2], 'Numbers2': [8, 2, 0, 0, 0], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 0, 'GiftTraitTableId4': 0, 'GiftTraitTableId5': 0}	{'LevelMin': 5, 'LevelMax': 20, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1091635930, 'ItemName': 'Azure Abyss Pearl', 'Numbers1': [5, 3, 2], 'Numbers2': [8, 2, 0, 0, 0], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 0, 'GiftTraitTableId4': 0, 'GiftTraitTableId5': 0}			戦士の大鎧	战士的大铠	戰士的大鎧	전사의 대갑옷	"{'flavor1': {'text_ENG': ""If we take down one this big, we'll be able to harvest a ton of ingredients from the armor! I'm so pumped!"", 'text_JPN': '「これだけ大きいと、鎧の素材をたくさん\n\u3000採れそうでワクワクするね！」', 'text_CHT': '「牠這麼大隻，一定可以採到滿滿的鎧甲素材，\n\u3000我已經手癢了！」', 'text_CHS': '“它个子这么大，一定可以采到满满的铠甲素材，\n\u3000我已经手痒了！”', 'text_KOR': '「이렇게나 크면 갑옷 소재를 많이\n 채집할 수 있을 것 같아 설레는걸!」'}, 'char1': 'Totori', 'flavor2': {'text_ENG': ""Me too! Now, let's see, the ingredients we can expect are ..."", 'text_JPN': '「はい！\u3000鎧から採れそうな素材だと……」', 'text_CHT': '「對啊！從牠的鎧甲一定能採到素材……」', 'text_CHS': '“对啊！从它的铠甲一定能采到素材……”', 'text_KOR': '「네! 갑옷에서 나올 것 같은 소재라면…」'}, 'char2': 'Meruru', 'flavor3': {'text_ENG': 'Guess part of being an alchemist is seeing enemies as potential ingredients ...', 'text_JPN': '「敵を見て素材を考えるのが錬金術士、か……」', 'text_CHT': '「原來在鍊金術士眼中，敵人都是素材啊……」', 'text_CHS': '“原来在炼金术士眼中，敌人都是素材啊……”', 'text_KOR': '「연금술사는 적을 보면 소재를 생각하는가…」'}, 'char3': 'Slade'}"	251682089
		[3, 6, 8, 3]	56																														700931674
		[8, 9, 10, 9]	531																														1477434168
Immortal Knight	Knight	[3, 7, 8, 3]	57	0	0	100	-50	0	-25	0	-25	0	100	0	0	-25	-50	{'LevelMin': 14, 'LevelMax': 29, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 127808194, 'ItemName': 'Guardian Armor', 'GradeMin': 1, 'GradeMax': 17}	{'LevelMin': 14, 'LevelMax': 29, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 266580340, 'ItemName': 'Honeypot Ant', 'GradeMin': 1, 'GradeMax': 17}	{'LevelMin': 14, 'LevelMax': 29, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1753176835, 'ItemName': 'Fairystone Fragment', 'GradeMin': 1, 'GradeMax': 17}	{'LevelMin': 14, 'LevelMax': 29, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1938765783, 'ItemName': 'Ancient Sword', 'GradeMin': 1, 'GradeMax': 17}		{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1724763677, 'ItemName': 'Altus - Brilliant Glow'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1583727976, 'ItemName': 'Altus - Glowing Crimson'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1684891331, 'ItemName': 'Altus - Glowing Azure'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 2140492094, 'ItemName': 'Altus - Glowing Jade'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1548505188, 'ItemName': 'Altus - Glowing Amethyst'}	イモータルナイト	永世的骑士	不朽騎士	불멸의 나이트	"{'flavor1': {'text_ENG': ""Red armor is so cool! I'd love to have some. I wonder how they make it."", 'text_JPN': '「赤い甲冑ってかっこいいですよねぇ！\n\u3000欲しいけど、どうやって作るんだろう？」', 'text_CHT': '「紅色的盔甲好帥！\n\u3000我也想要一副，可是該怎麼製作？」', 'text_CHS': '“红色的盔甲好帅啊！\n\u3000我也想要一套，可是要怎么做出来呢？”', 'text_KOR': '「붉은 갑주는 참 멋있죠!\n 갖고 싶은데 어떻게 만들면 좋을까요?」'}, 'char1': 'Firis', 'flavor2': {'text_ENG': ""It's said that the blood from all the humans they killed dyed them red."", 'text_JPN': '「噂では倒した人間の返り血で染まってるとか」', 'text_CHT': '「聽說得用敵人倒下時噴濺的鮮血來染色。」', 'text_CHS': '“听说得用敌人倒下时喷出的鲜血来染色。”', 'text_KOR': '「해치운 인간한테서 튄 피로 물들었다던데」'}, 'char2': 'Rias', 'flavor3': {'text_ENG': '... Actually, forget I said anything.', 'text_JPN': '「……やっぱいらないや」', 'text_CHT': '「……那還是算了。」', 'text_CHS': '“……那还是算了。”', 'text_KOR': '「…역시 됐어요」'}, 'char3': 'Firis'}"	1018098871
		[3, 8, 8, 5]	58																														893634982
		[6, 9, 9, 7]	59																														1583289472
Great Guardian	Knight	[8, 10, 10, 10]	532	0	0	100	-50	0	-25	0	-25	0	100	0	0	-25	-50	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 127808194, 'ItemName': 'Guardian Armor', 'GradeMin': 1, 'GradeMax': 20}	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1877818421, 'ItemName': 'Regicite', 'GradeMin': 1, 'GradeMax': 20}	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1753176835, 'ItemName': 'Fairystone Fragment', 'GradeMin': 1, 'GradeMax': 20}	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1340797831, 'ItemName': 'Tíkometal', 'GradeMin': 1, 'GradeMax': 20}		{'LevelMin': 5, 'LevelMax': 20, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 263688471, 'ItemName': 'Dark Shine Pearl', 'Numbers1': [5, 3, 2], 'Numbers2': [8, 2, 0, 0, 0], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 0, 'GiftTraitTableId4': 0, 'GiftTraitTableId5': 0}	{'LevelMin': 5, 'LevelMax': 20, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 2024841601, 'ItemName': 'Crimson Shine Pearl', 'Numbers1': [5, 3, 2], 'Numbers2': [8, 2, 0, 0, 0], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 0, 'GiftTraitTableId4': 0, 'GiftTraitTableId5': 0}	{'LevelMin': 5, 'LevelMax': 20, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 507908037, 'ItemName': 'Azure Shine Pearl', 'Numbers1': [5, 3, 2], 'Numbers2': [8, 2, 0, 0, 0], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 0, 'GiftTraitTableId4': 0, 'GiftTraitTableId5': 0}			グレートガーディアン	伟大守护者	偉大守護者	그레이트 가디언	"{'flavor1': {'text_ENG': 'This monster exudes the aura of a seasoned warrior.', 'text_JPN': '「歴戦の騎士といった風格を持った魔物だな」', 'text_CHT': '「這魔物看起來是個身經百戰的騎士。」', 'text_CHS': '“这魔物看起来是个身经百战的骑士。”', 'text_KOR': '「역전의 기사 같은 풍격을 지닌 몬스터군」'}, 'char1': 'Logy', 'flavor2': {'text_ENG': ""Indeed. Not to mention the size of it. We'll have to use every ounce of our strength when we go up against it."", 'text_JPN': '「うん。それにこの大きさだ。相当気持ちを\n\u3000引き締めて戦う必要がありそうだね」', 'text_CHT': '「嗯，而且牠體型龐大，\n\u3000我們必須繃緊神經應戰。」', 'text_CHS': '“嗯，而且它体型庞大，\n\u3000我们必须绷紧神经应战。”', 'text_KOR': '「응. 게다가 이 크기야. 마음을\n 단단히 먹고 싸울 필요가 있어 보여」'}, 'char2': 'Vayne', 'flavor3': {'text_ENG': ""Hearing you guys say that, I can't help but feel nervous."", 'text_JPN': '「あんたたちが言うと、嫌でも緊張してくるわ」', 'text_CHT': '「被你們這麼一說，我都不禁緊張起來了。」', 'text_CHS': '“被你们这么一说，我都不禁紧张起来了。”', 'text_KOR': '「당신들이 말하니까 괜스레 긴장되잖아」'}, 'char3': 'Wilbell'}"	1184157035
Abyssal Chevalier	Knight	[10, 10, 10, 10]	1003	0	0	100	-50	0	-25	0	-25	0	100	0	0	-25	-50	{'LevelMin': 40, 'LevelMax': 60, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 127808194, 'ItemName': 'Guardian Armor', 'GradeMin': 1, 'GradeMax': 53}	{'LevelMin': 40, 'LevelMax': 60, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1877818421, 'ItemName': 'Regicite', 'GradeMin': 1, 'GradeMax': 53}	{'LevelMin': 40, 'LevelMax': 60, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1753176835, 'ItemName': 'Fairystone Fragment', 'GradeMin': 1, 'GradeMax': 53}	{'LevelMin': 40, 'LevelMax': 60, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1340797831, 'ItemName': 'Tíkometal', 'GradeMin': 1, 'GradeMax': 53}		{'LevelMin': 30, 'LevelMax': 80, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 263688471, 'ItemName': 'Dark Shine Pearl', 'Numbers1': [1, 2, 4], 'Numbers2': [1, 3, 4, 2, 1], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 990869865, 'GiftTraitTableId4': 1519653684, 'GiftTraitTableId5': 764617634}	{'LevelMin': 30, 'LevelMax': 80, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 2024841601, 'ItemName': 'Crimson Shine Pearl', 'Numbers1': [1, 2, 4], 'Numbers2': [1, 3, 4, 2, 1], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 990869865, 'GiftTraitTableId4': 1519653684, 'GiftTraitTableId5': 764617634}	{'LevelMin': 30, 'LevelMax': 80, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 507908037, 'ItemName': 'Azure Shine Pearl', 'Numbers1': [1, 2, 4], 'Numbers2': [1, 3, 4, 2, 1], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 990869865, 'GiftTraitTableId4': 1519653684, 'GiftTraitTableId5': 764617634}			アビスシュヴァリエ	深渊骑士	深淵騎士	어비스 슈발리에	"{'flavor1': {'text_ENG': 'Rias, do you normally fight monsters of that size?!', 'text_JPN': '「リアス、普段こんなのと戦ってるの！？」', 'text_CHT': '「莉雅絲，妳平常都在對付這種魔物嗎！？」', 'text_CHS': '“莉雅丝，你平时都是对付这种魔物的吗？！”', 'text_KOR': '「리아스, 평소에 이런 거랑 싸워?!」'}, 'char1': 'Camilla', 'flavor2': {'text_ENG': 'No, silly! We only run into huge monsters like that occasionally.', 'text_JPN': '「普段は戦わないよ！\u3000ここまで大きい魔物は\n\u3000たまにしか出会わないし！」', 'text_CHT': '「平常沒有啦！這麼大的魔物，\n\u3000只有偶爾才會遇到。」', 'text_CHS': '“平常没有啦！这么大的魔物，\n\u3000偶尔才会遇到。”', 'text_KOR': '「평소에는 싸우지 않아! 이렇게까지 큰\n 몬스터는 어쩌다 만날 뿐이니까!」'}, 'char2': 'Rias', 'flavor3': {'text_ENG': ""Occasionally ...? You're gonna give old Heiter a heart attack ..."", 'text_JPN': '「たまにって……おじさん、肝が冷えるよ……」', 'text_CHT': '「偶爾嗎……叔叔都嚇出一身冷汗了……」', 'text_CHS': '“偶尔吗……叔叔都吓出一身冷汗了……”', 'text_KOR': '「어쩌다라… 간담이 서늘해지네…」'}, 'char3': 'Heiter'}"	450173565
Stone Golem	Golem	[1, 1, 7, 1]	60	0	-25	0	0	0	-50	0	-50	0	0	0	-25	-50	0	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 339858290, 'ItemName': 'Broken Rock', 'GradeMin': 1, 'GradeMax': 8}	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 840586544, 'ItemName': 'Mossy Stone', 'GradeMin': 1, 'GradeMax': 8}	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1347401143, 'ItemName': 'Undastone', 'GradeMin': 1, 'GradeMax': 8}	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1192353482, 'ItemName': 'Ethereal Stone', 'GradeMin': 1, 'GradeMax': 8}	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1256813448, 'ItemName': 'Unknown Gemstone', 'GradeMin': 1, 'GradeMax': 8}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1399748193, 'ItemName': 'Iris Stone - Water'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 56520649, 'ItemName': 'Iris Stone - Plant'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 255249747, 'ItemName': 'Iris Stone - Uni'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1705445744, 'ItemName': 'Iris Stone - Flower'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 629080021, 'ItemName': 'Iris Stone - Medicinal'}	ストーンゴーレム	硬石魔巨人	硬石魔巨人	스톤 골렘	"{'flavor1': {'text_ENG': ""I struggle with these types of enemies. Not only do my strikes rarely land true, if I'm not careful, I can chip my blade."", 'text_JPN': '「こういう敵は苦手だ。攻撃の当てどころが\n\u3000悪いと、武器が欠けてしまうんだ」', 'text_CHT': '「我最怕這種敵人了，要是攻擊的位置沒抓好，\n\u3000武器很容易鈍掉。」', 'text_CHS': '“我最怕这种敌人了，要是攻击的位置没抓准，\n\u3000武器很容易缺损。”', 'text_KOR': '「이런 적은 질색이야. 잘못 공격하면\n 무기가 손상되니까 말이야」'}, 'char1': 'Slade', 'flavor2': {'text_ENG': ""If you used a broom, you wouldn't have to worry about your weapon chipping!"", 'text_JPN': '「ほうきなら欠ける心配ないですよ！」', 'text_CHT': '「掃帚就不必擔心鈍掉！」', 'text_CHS': '“扫帚就不用担心缺损！”', 'text_KOR': '「빗자루라면 손상될 걱정이 없다고요!」'}, 'char2': 'Shallotte', 'flavor3': {'text_ENG': ""I'm sure I wouldn't, but I don't think I'd be able to wield a broom effectively."", 'text_JPN': '「欠けないだろうが、使いこなせる気がしない」', 'text_CHT': '「是不會鈍掉，但也很難用吧。」', 'text_CHS': '“是不会缺损，但也很难用吧。”', 'text_KOR': '「손상되지는 않겠지만, 쓰기 어렵겠지」'}, 'char3': 'Slade'}"	1663340205
